iter	Passed	Remaining
463	758	876
464	759	874
465	761	872
466	762	870
467	764	868
468	765	866
469	766	864
470	767	861
471	768	859
472	770	858
473	771	856
474	773	854
475	774	852
476	776	851
477	778	849
478	779	847
479	780	845
480	782	843
481	783	841
482	784	839
483	785	837
484	786	835
485	788	833
486	789	831
487	790	829
488	791	826
489	792	824
490	793	822
491	795	820
492	796	818
493	797	816
494	798	814
495	799	812
496	800	810
497	801	808
498	802	806
499	804	804
500	805	801
501	806	799
502	807	798
503	808	796
504	810	794
505	811	791
506	812	789
507	813	787
508	814	786
509	816	784
510	817	782
511	819	780
512	820	778
513	821	776
514	823	775
515	824	773
516	825	771
517	826	769
518	828	767
519	829	765
520	830	763
521	831	761
522	832	759
523	833	757
524	835	755
525	836	753
526	838	752
527	839	750
528	840	748
529	841	746
530	842	744
531	843	742
532	844	740
533	845	738
534	847	736
535	848	734
536	849	732
537	850	730
538	851	728
539	853	726
540	854	724
541	855	722
542	856	720
543	857	718
544	858	716
545	859	714
546	860	712
547	861	710
548	863	709
549	864	707
550	865	705
551	866	703
552	868	701
553	869	700
554	870	698
555	871	696
556	872	694
557	874	692
558	875	690
559	876	688
560	877	686
561	878	684
562	879	682
563	881	681
564	882	679
565	883	677
566	884	675
567	886	673
568	887	671
569	888	670
570	889	668
571	890	666
572	891	664
573	892	662
574	894	660
575	895	659
576	896	657
577	898	655
578	899	654
579	901	652
580	902	650
581	903	648
582	904	647
583	905	645
584	907	643
585	908	641
586	909	639
587	910	638
588	912	636
589	913	634
590	915	633
591	916	631
592	917	629
593	918	628
594	920	626
595	921	624
596	922	622
597	923	620
598	924	619
599	926	617
600	927	615
601	928	613
602	929	611
603	930	610
604	931	608
605	933	606
606	934	604
607	935	603
608	936	601
609	937	599
610	938	597
611	940	596
612	941	594
613	942	592
614	943	590
615	944	588
616	945	587
617	947	585
618	948	583
619	949	581
620	950	580
621	951	578
622	952	576
623	954	574
624	955	573
625	956	571
626	957	569
627	958	567
628	959	566
629	961	564
630	962	563
631	964	561
632	965	559
633	966	557
634	967	556
635	968	554
636	970	552
637	971	551
638	972	549
639	973	547
640	975	546
641	976	544
642	977	542
643	978	541
644	980	539
645	981	538
646	983	536
647	985	535
648	987	534
649	989	532
650	991	531
651	993	530
652	995	528
653	996	527
654	997	525
655	999	524
656	1000	522
657	1001	520
658	1003	519
659	1004	517
660	1005	515
661	1007	514
662	1008	512
663	1009	510
664	1011	509
665	1012	507
666	1013	506
667	1015	504
668	1016	502
669	1017	501
670	1019	499
671	1020	498
672	1021	496
673	1022	494
674	1023	493
675	1025	491
676	1026	489
677	1027	488
678	1029	486
679	1030	484
680	1031	483
681	1032	481
682	1033	479
683	1035	478
684	1036	476
685	1037	474
686	1038	473
687	1039	471
688	1040	469
689	1042	468
690	1043	466
691	1044	464
692	1045	463
693	1046	461
694	1048	459
695	1049	458
696	1050	456
697	1051	455
698	1052	453
699	1053	451
700	1054	449
701	1056	448
702	1057	446
703	1058	445
704	1059	443
705	1061	441
706	1062	440
707	1063	438
708	1065	437
709	1066	435
710	1068	434
711	1069	432
712	1071	431
713	1072	429
714	1074	428
715	1075	426
716	1076	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1083	417
722	1084	415
723	1085	413
724	1086	412
725	1088	410
726	1089	409
727	1090	407
728	1091	405
729	1093	404
730	1094	402
731	1095	401
732	1096	399
733	1098	398
734	1099	396
735	1101	394
736	1102	393
737	1104	392
738	1105	390
739	1106	388
740	1108	387
741	1109	385
742	1110	384
743	1111	382
744	1112	380
745	1113	379
746	1115	377
747	1116	376
748	1118	374
749	1119	373
750	1121	371
751	1122	370
752	1123	368
753	1124	367
754	1126	365
755	1127	363
756	1128	362
757	1129	360
758	1130	358
759	1131	357
760	1133	355
761	1134	354
762	1135	352
763	1136	351
764	1137	349
765	1139	347
766	1140	346
767	1141	344
768	1142	343
769	1145	342
770	1148	341
771	1149	339
772	1151	338
773	1153	336
774	1154	335
775	1155	333
776	1156	332
777	1158	330
778	1159	328
779	1160	327
780	1161	325
781	1163	324
782	1164	322
783	1165	321
784	1166	319
785	1168	318
786	1169	316
787	1170	314
788	1171	313
789	1172	311
790	1173	310
791	1174	308
792	1175	306
793	1177	305
794	1178	303
795	1179	302
796	1181	300
797	1182	299
798	1183	297
799	1184	296
800	1185	294
801	1186	292
802	1187	291
803	1189	289
804	1190	288
805	1191	286
806	1192	285
807	1193	283
808	1194	282
809	1195	280
810	1196	278
811	1198	277
812	1199	275
813	1200	274
814	1201	272
815	1202	271
816	1203	269
817	1205	268
818	1206	266
819	1207	265
820	1209	263
821	1210	262
822	1211	260
823	1212	259
824	1214	257
825	1215	256
826	1216	254
827	1217	252
828	1219	251
829	1220	250
830	1222	248
831	1224	247
832	1225	245
833	1226	244
834	1228	242
835	1229	241
836	1230	239
837	1232	238
838	1233	236
839	1235	235
840	1236	233
841	1238	232
842	1239	230
843	1241	229
844	1242	227
845	1243	226
846	1244	224
847	1246	223
848	1247	221
849	1248	220
850	1249	218
851	1251	217
852	1252	215
853	1253	214
854	1255	212
855	1256	211
856	1257	209
857	1258	208
858	1259	206
859	1261	205
860	1262	203
861	1263	202
862	1264	200
863	1266	199
864	1267	197
865	1268	196
866	1272	195
867	1273	193
868	1275	192
869	1276	190
870	1278	189
871	1279	187
872	1281	186
873	1282	184
874	1284	183
875	1285	182
876	1288	180
877	1289	179
878	1291	177
879	1293	176
880	1294	174
881	1295	173
882	1297	171
883	1298	170
884	1299	168
885	1301	167
886	1302	165
887	1303	164
888	1304	162
889	1306	161
890	1307	159
891	1308	158
892	1310	156
893	1311	155
894	1312	154
895	1314	152
896	1315	151
897	1316	149
898	1318	148
899	1319	146
900	1320	145
901	1321	143
902	1322	142
903	1323	140
904	1325	139
905	1326	137
906	1327	136
907	1328	134
908	1330	133
909	1331	131
910	1332	130
911	1333	128
912	1335	127
913	1336	125
914	1337	124
915	1338	122
916	1339	121
917	1341	119
918	1342	118
919	1343	116
920	1344	115
921	1346	113
922	1347	112
923	1348	110
924	1349	109
925	1350	107
926	1351	106
927	1353	104
928	1354	103
929	1355	102
930	1356	100
931	1357	99
932	1358	97
933	1360	96
934	1361	94
935	1362	93
936	1363	91
937	1364	90
938	1365	88
939	1366	87
940	1368	85
941	1369	84
942	1370	82
943	1371	81
944	1373	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1378	72
950	1380	71
951	1381	69
952	1382	68
953	1383	66
954	1384	65
955	1386	63
956	1387	62
957	1388	60
958	1389	59
959	1390	57
960	1391	56
961	1393	55
962	1394	53
963	1395	52
964	1396	50
965	1397	49
966	1398	47
967	1399	46
968	1401	44
969	1402	43
970	1403	41
971	1404	40
972	1405	39
973	1407	37
974	1408	36
975	1409	34
976	1410	33
977	1411	31
978	1412	30
979	1413	28
980	1415	27
981	1417	25
982	1418	24
983	1420	23
984	1421	21
985	1423	20
986	1424	18
987	1425	17
988	1426	15
989	1427	14
990	1428	12
991	1430	11
992	1432	10
993	1433	8
994	1435	7
995	1436	5
996	1438	4
997	1439	2
998	1440	1
999	1442	0
